hour_of_day,day_of_week,severity_numeric,source_type_numeric,src_bytes,dst_bytes,event_freq_1m,duration,protocol,dst_port,same_srv_rate,diff_srv_rate,serror_rate,rerror_rate,count,srv_count,dst_host_count,dst_host_srv_count,template_rarity,threat_intel_flag,label,source_dataset
0,3,1,0,132.0,164.0,1000.0,0.001055,17.0,1.0,0,0,0,0,0,0,0,0,0.5,0,0,unsw_nb15
0,3,1,0,728.0,0.0,1000.0,2.1e-05,17.0,1.0,0,0,0,0,0,0,0,0,0.5,0,1,unsw_nb15
0,3,1,0,1362.0,268.0,25.100506611891785,2.39039,6.0,1.0,0,0,0,0,0,0,0,0,0.5,0,1,unsw_nb15
0,3,1,0,8168.0,268.0,342.48530167246986,0.17519,6.0,1.0,0,0,0,0,0,0,0,0,0.5,0,1,unsw_nb15
0,3,1,0,1214.0,268.0,338.12532051462676,0.177449,6.0,1.0,0,0,0,0,0,0,0,0,0.5,0,1,unsw_nb15
0,3,1,0,844.0,268.0,307.8343851008158,0.19491,6.0,1.0,0,0,0,0,0,0,0,0,0.5,0,1,unsw_nb15
0,3,1,0,146.0,178.0,1000.0,0.001087,17.0,1.0,0,0,0,0,0,0,0,0,0.5,0,0,unsw_nb15
0,3,1,0,2082.0,268.0,23.140024142758524,2.59291,6.0,2.0,0,0,0,0,0,0,0,0,0.5,0,1,unsw_nb15
0,3,1,0,828.0,4004.0,257.57816424042346,0.232939,6.0,1.0,0,0,0,0,0,0,0,0,0.5,0,1,unsw_nb15
0,3,1,0,744.0,1306.0,240.9609522776834,0.249003,6.0,1.0,0,0,0,0,0,0,0,0,0.5,0,1,unsw_nb15
0,3,1,0,168.0,0.0,1000.0,1.7e-05,17.0,1.0,0,0,0,0,0,0,0,0,0.5,0,1,unsw_nb15
0,3,1,0,980.0,268.0,279.4141616410925,0.214735,6.0,1.0,0,0,0,0,0,0,0,0,0.5,0,1,unsw_nb15
0,3,1,0,564.0,354.0,86.28351035833542,0.695382,6.0,1.0,0,0,0,0,0,0,0,0,0.5,0,1,unsw_nb15
0,3,1,0,946.0,268.0,306.5149758108598,0.195749,6.0,1.0,0,0,0,0,0,0,0,0,0.5,0,1,unsw_nb15
